name-type	first	Surname	surname,firstname	Column 1
firstname geb. surname	Jenny	Lechner	Lechner, Jenny	Jenny geb. Lechner
firstname surname	Joachim	Schlör	Schlör, Joachim	Joachim Schlör
firstname surname	Jochen	Lehmann	Lehmann, Jochen	Jochen Lehmann
firstname secondname surname	Johann Christoph	Meyer	Meyer, Johann Christoph	Johann Christoph Meyer
firstname secondname surname	Johanna Ani	Bendikowsky	Bendikowsky, Johanna Ani	Johanna Ani Bendikowsky
firstname surname	Johanna	Davidson	Davidson, Johanna	Johanna Davidson
firstname surname	Johanna	Hannchen	Hannchen, Johanna	Johanna Hannchen
firstname surname	Josef	Salomon	Salomon, Josef	Josef Salomon
firstname surname	Juda	Friedländer	Friedländer, Juda	Juda Friedländer
firstname secondname surname	Julius Aron	Friedländer	Friedländer, Julius Aron	Julius Aron Friedländer
firstname surname	Julius	David	David, Julius	Julius David
firstname surname	Julius	Lax	Lax, Julius	Julius Lax
firstname surname	Julius	Weiler	Weiler, Julius	Julius Weiler
firstname surname	Jürgen	König	König, Jürgen	Jürgen König
firstname surname	Kalman	Kahlberg	Kahlberg, Kalman	Kalman Kahlberg
firstname ? geb. surname	Käthe	Glaser	Glaser, Käthe	Käthe Erna geb. Glaser
firstname secondname surname	Käthe Sara	Loewenstein	Loewenstein, Käthe Sara	Käthe Sara Loewenstein
firstname surname	KB.	Levy	Levy, KB.	KB. Levy
firstname surname	Klaus	Kügler	Kügler, Klaus	Klaus Kügler
firstname surname	Kurt	Liedermann	Liedermann, Kurt	Kurt Liedermann
surname firstname	Arno	Lederberger,Lador	Lederberger,Lador, Arno	Lederberger Arno
firstname surname	Leni	Neuger	Neuger, Leni	Leni Neuger
firstname surname	Leo	Ermann	Ermann, Leo	Leo Ermann
firstname secondname surname	Leo Ludwig	Berney	Berney, Leo Ludwig	Leo Ludwig Berney
firstname surname	Leon	Leonhard	Leonhard, Leon	Leon Leonhard
firstname surname	Leopold	Cohn	Cohn, Leopold	Leopold Cohn
firstname surname	Leopold	Kohn	Kohn, Leopold	Leopold Kohn
firstname surname	Leser	Koppel	Koppel, Leser	Leser Koppel
firstname surname	Levy	Meyer	Meyer, Levy	Levy Meyer
firstname surname	Liebe	Grete	Grete, Liebe	Liebe Grete
firstname surname	Lili	Meyer	Meyer, Lili	Lili Meyer
firstname surname	Lina	Klimowski	Klimowski, Lina	Lina Klimowski
firstname surname	Lothar	Braun	Braun, Lothar	Lothar Braun
firstname surname	Lothar	Wolf	Wolf, Lothar	Lothar Wolf
firstname surname	Louis	Gerst	Gerst, Louis	Louis Gerst
firstname ? geb. surname	Lucia	Haagen	Haagen, Lucia	Lucia Maria geb. Haagen
firstname surname	Ludwig	Liebermann	Liebermann, Ludwig	Ludwig Liebermann
firstname surname	Lugwig	Lax	Lax, Lugwig	Lugwig Lax
firstname surname	Magarete	Gerson	Gerson, Magarete	Magarete Gerson
firstname surname	Maier	Schloss	Schloss, Maier	Maier Schloss
firstname surname	Makkabi	Bremen	Bremen, Makkabi	Makkabi Bremen
firstname surname	Martha	Weiler	Weiler, Martha	Martha Weiler
firstname surname geb. surname	Martha	Weiler, Jacoby	Weiler, Jacoby, Martha	Martha Weiler geb. Jacoby
firstname surname	Max	Wallach	Wallach, Max	Max Wallach
firstname surname	Meyer	Freuden	Freuden, Meyer	Meyer Freuden
firstname surname	Mia	Neter	Neter, Mia	Mia Neter
firstname surname	Michaela	Comberti	Comberti, Michaela	Michaela Comberti
firstname geb. surname	Michale	Stern	Stern, Michale	Michale geb. Stern
firstname surname	Michelsohn	Erich	Erich, Michelsohn	Michelsohn Erich
firstname surname	Minna	Wertnen	Wertnen, Minna	Minna Wertnen
firstname surname	Mois	Liegner	Liegner, Mois	Mois Liegner
firstname surname	Moses	Lax	Lax, Moses	Moses Lax
firstname surname	Mughal	School	School, Mughal	Mughal School
firstname surname	Nathan	Reis	Reis, Nathan	Nathan Reis
firstname surname	Nicolas	Meyer	Meyer, Nicolas	Nicolas Meyer
firstname surname	Noam	Shrif	Shrif, Noam	Noam Shrif
firstname surname	Oscar	Gole	Gole, Oscar	Oscar Gole
firstname secondname surname	Otto Emanuel	Meyer	Meyer, Otto Emanuel	Otto Emanuel Meyer
firstname surname	Paul	Barnays	Barnays, Paul	Paul Barnays
firstname surname2	Paul	Ben Haim	Ben Haim, Paul	Paul Ben Haim
firstname surname	Paul	Meyer	Meyer, Paul	Paul Meyer
firstname geb. surname	Pauline	Eisner	Eisner, Pauline	Pauline geb. Eisner.
firstname surname	Peter	Wedel	Wedel, Peter	Peter Wedel
Title title firstname surname	Johannes	Gerster	Gerster, Johannes	Pfarrer Dr. Johannes Gerster
firstname surname	Phillip	Bendikowsky	Bendikowsky, Phillip	Phillip Bendikowsky
Title title firstname surname	Eberhard	Munzert	Munzert, Eberhard	Prof. Dr. Eberhard Munzert
Title title firstname surname	Nathan	Stein	Stein, Nathan	Prof. Dr. Nathan Stein
Title firstname surname	Karl	Jaspers	Jaspers, Karl	Prof. Karl Jaspers
firstname firstname surname geb. surname	Rachel Sara	Eger, Neumann	Eger, Neumann, Rachel Sara	Rachel Sara Neumann geb. Eger
firstname surname	Recha	Lämle	Lämle, Recha	Recha Lämle
firstname secondname surname	Renate Alexander	Gerson	Gerson, Renate Alexander	Renate Alexander Gerson
firstname surname	Renate	Franz	Franz, Renate	Renate Franz
firstname secondname surname	Reuven Ermann	Arbel	Arbel, Reuven Ermann	Reuven Ermann Arbel
firstname surname	Robert	Weltsch	Weltsch, Robert	Robert Weltsch
firstname surname	Ruben	Loewenstein	Loewenstein, Ruben	Ruben Loewenstein
firstname surname	Rudi	Löwenstein	Löwenstein, Rudi	Rudi Löwenstein
firstname surname	Ruth	Liedmann	Liedmann, Ruth	Ruth Liedmann
firstname surname	Ruth	Tau	Tau, Ruth	Ruth Tau
firstname surname	Sabine	Oetz	Oetz, Sabine	Sabine Oetz
firstname surname	Samuel	Beckett	Beckett, Samuel	Samuel Beckett
firstname surname	Sara	Tropper	Tropper, Sara	Sara Tropper
firstname surname	Sophie	Buchholz.	Buchholz., Sophie	Sophie Buchholz.
firstname surname	Stanislaus	Bender	Bender, Stanislaus	Stanislaus Bender
firstname surname	Thekla	Hermer	Hermer, Thekla	Thekla Hermer
firstname surname	Thomas	Schocken	Schocken, Thomas	Thomas Schocken
firstname surname	Towa	Tau	Tau, Towa	Towa Tau
firstname surname	Udo	Wolf	Wolf, Udo	Udo Wolf
firstname surname	Ursula	Meyer	Meyer, Ursula	Ursula Meyer
firstname surname	Walburga	Lutter	Lutter, Walburga	Walburga Lutter
firstname secondname surname	Wolfgang Alexander	Schocken	Schocken, Wolfgang Alexander	Wolfgang Alexander Schocken
firstname secondname surname	Wolfgang Meyer	Michael	Michael, Wolfgang Meyer	Wolfgang Meyer Michael
firstname secondname surname	Wolfgang Michael	Meyer	Meyer, Wolfgang Michael	Wolfgang Michael Meyer
firstname surname	Wolfgang	Schocken	Schocken, Wolfgang	Wolfgang Schocken
firstname secondname surname	Zvi Herrmann	Friedländer	Friedländer, Zvi Herrmann	Zvi Herrmann Friedländer
firstname secondname surname	Zwi Hirsch	Kalischer	Kalischer, Zwi Hirsch	Zwi Hirsch Kalischer
